"rent","bedroom","livingroom","bathroom","area","room","floor_grp","subway","region","heating"
2730,2,1,1,12,"主卧","高楼层","是","通州","集中供暖"
2740,3,1,1,9,"次卧","低楼层","是","昌平","集中供暖"
2810,3,1,1,14,"主卧","低楼层","是","丰台","集中供暖"
2650,4,1,1,8,"次卧","低楼层","是","丰台","集中供暖"
2670,4,1,1,13,"主卧","高楼层","否","丰台","集中供暖"
2530,3,1,1,12,"次卧","高楼层","是","顺义","集中供暖"
2000,2,1,1,10,"次卧","高楼层","是","大兴","集中供暖"
2780,4,1,1,13,"主卧","中楼层","是","朝阳","集中供暖"
2790,4,1,1,10,"次卧","低楼层","是","昌平","集中供暖"
2640,4,1,1,13,"主卧","中楼层","是","昌平","集中供暖"
2910,4,1,1,18,"主卧","低楼层","是","昌平","集中供暖"
2740,2,1,1,10,"次卧","高楼层","是","海淀","集中供暖"
2540,3,1,1,12,"主卧","中楼层","是","昌平","集中供暖"
2740,3,1,1,11,"次卧","中楼层","是","朝阳","集中供暖"
2340,3,1,1,11,"主卧","低楼层","是","丰台","集中供暖"
2800,5,1,1,16,"次卧","低楼层","是","朝阳","集中供暖"
2500,2,1,1,9,"次卧","中楼层","是","通州","集中供暖"
2500,2,1,1,12,"次卧","中楼层","否","通州","集中供暖"
3400,3,1,1,13,"次卧","中楼层","是","海淀","集中供暖"
2700,2,1,1,9,"主卧","高楼层","否","朝阳","自采暖"
2390,2,1,1,14,"主卧","高楼层","是","通州","集中供暖"
2840,2,1,1,13,"主卧","中楼层","是","石景山","集中供暖"
2840,2,1,1,12,"主卧","高楼层","否","通州","集中供暖"
3620,2,1,1,13,"主卧","低楼层","是","朝阳","集中供暖"
3170,3,1,1,14,"次卧","高楼层","是","朝阳","集中供暖"
2500,4,1,1,15,"次卧","高楼层","是","大兴","集中供暖"
2740,3,1,1,13,"次卧","中楼层","是","丰台","集中供暖"
2070,2,1,1,11,"主卧","中楼层","是","顺义","集中供暖"
2930,3,1,1,11,"次卧","中楼层","是","朝阳","集中供暖"
2490,2,1,1,13,"主卧","中楼层","是","通州","集中供暖"
2800,4,1,1,13,"次卧","中楼层","是","丰台","集中供暖"
2230,4,1,1,11,"次卧","中楼层","是","大兴","集中供暖"
2790,3,1,1,10,"主卧","中楼层","是","朝阳","自采暖"
2300,2,1,1,14,"主卧","中楼层","是","昌平","集中供暖"
2660,4,1,1,14,"主卧","低楼层","是","朝阳","集中供暖"
2700,4,1,1,15,"主卧","高楼层","是","丰台","集中供暖"
2990,3,1,1,17,"主卧","中楼层","是","朝阳","集中供暖"
2750,3,1,1,14,"次卧","中楼层","是","朝阳","集中供暖"
2830,3,1,1,12,"主卧","高楼层","是","昌平","集中供暖"
3430,3,1,1,13,"次卧","低楼层","是","丰台","自采暖"
2550,2,1,1,10,"次卧","低楼层","是","通州","自采暖"
2820,4,1,1,10,"次卧","低楼层","是","丰台","自采暖"
1820,4,1,1,16,"次卧","中楼层","否","顺义","自采暖"
2150,2,1,1,13,"主卧","高楼层","是","大兴","集中供暖"
2970,2,1,1,9,"主卧","高楼层","是","朝阳","集中供暖"
3390,4,1,1,18,"主卧","低楼层","是","朝阳","集中供暖"
2740,4,1,1,11,"次卧","高楼层","否","海淀","集中供暖"
1970,3,1,1,14,"主卧","高楼层","是","通州","集中供暖"
2690,3,1,1,12,"次卧","低楼层","是","丰台","集中供暖"
2540,2,1,1,15,"主卧","高楼层","是","通州","集中供暖"
2790,4,1,1,14,"次卧","高楼层","是","朝阳","集中供暖"
2700,4,1,1,10,"次卧","高楼层","是","丰台","自采暖"
2730,2,1,1,10,"主卧","高楼层","是","丰台","集中供暖"
2830,4,1,1,19,"主卧","中楼层","是","朝阳","自采暖"
2130,3,1,1,14,"主卧","低楼层","是","通州","集中供暖"
3190,3,1,1,11,"次卧","中楼层","是","朝阳","集中供暖"
2870,3,1,1,10,"次卧","低楼层","是","丰台","集中供暖"
2420,3,1,1,11,"主卧","低楼层","否","朝阳","自采暖"
2930,4,1,1,17,"次卧","低楼层","是","昌平","集中供暖"
2940,2,1,1,11,"次卧","低楼层","是","朝阳","集中供暖"
2640,5,1,1,18,"主卧","低楼层","否","通州","集中供暖"
2540,4,1,1,14,"主卧","高楼层","否","通州","集中供暖"
2310,2,1,1,14,"主卧","高楼层","是","房山","自采暖"
2180,2,1,1,10,"次卧","中楼层","是","顺义","集中供暖"
2870,2,1,1,10,"次卧","高楼层","是","丰台","集中供暖"
2440,3,1,1,16,"主卧","中楼层","是","大兴","集中供暖"
2700,4,2,2,7,"次卧","高楼层","是","昌平","集中供暖"
2640,2,1,1,19,"主卧","中楼层","否","通州","集中供暖"
2040,3,1,1,13,"主卧","中楼层","是","房山","自采暖"
2970,3,1,1,13,"主卧","低楼层","是","通州","集中供暖"
